ID,Tweet,Target,Stance
2286,"@lisamurkowski Alaskans &amp; the American people know you are owned by Diane Feinstein &amp; Democrats. Do the right thing and confess to your crimes/corruption, free yourself from their chains. Im sure @realDonaldTrump will have mercy if you come clean. Alaskans deserve better!",Donald Trump,FAVOR
2287,"NAS Pensacola shooter had prior contact with Al Qaeda, FBI says, after finally accessing gunman's phones WE DEMAND APPLE PROTECT AMERICANS NOT ASSIST THEIR SLAUGHTER! APPLE STOP PLAYING POLITICS! #Trump",Donald Trump,FAVOR
2288,"How awesome would it be, if @realDonaldTrump , put spies in all of the #MSM? And hes saving it all for election time. #WINNING #TrumpStillWinning",Donald Trump,FAVOR
2289,"We should be clear about it, weve looked at numbers &amp; seen the decline well before the Obama administration Continuing through that 1 &amp; into this 1 as well, Lets be honest they are not coming back Beto O'Rourke claimed.. #Trump",Donald Trump,FAVOR
2290,"Patriots know its a stall. For some reason #Dems think the American People are all stupid, but that only applies to those afflicted with #TDS that believe #FakeNews @msnbc @cnn They CANNOT receive what they refused to give @realDonaldTrump &amp; our @GOP Took cojones to ask",Donald Trump,FAVOR
2291,"People like me? Ok I could argue with you, but PEOPLE like you put Trumps people as racist. Who wants to argue like that?.. Like I said before stay classy.",Donald Trump,FAVOR
2292,"For all you anti-Trumpers/never-Trumpers, I hope you send this money back because remember you hate him and everything he does and all that none sense. #MAG #CoronavirusUSA",Donald Trump,FAVOR
2293,This blows me away. Even Reagan didnt have this kind of support in 1983. @realDonaldTrump just killing it!,Donald Trump,FAVOR
2294,@Pink_About_it I so love your posts and retweets. GOD bless America! And you! And our President! #MAGA. #USA #Trump,Donald Trump,FAVOR
2295,"Pretty sure that no one worships Obama like people do with Trump. When you see a pattern of extreme nationalistic Twitter accounts with #QAnon #WW1WGA #KAG #MAGA, then you know that its a cult.",Donald Trump,AGAINST
2296,HA! Nice crop job; Picture #2 was taken at a Resist rally WAY BEFORE the phone call. You cropped out soy boy toy. #DemocratsGoneRogue #leftistlnieshavelosttheirminds #crazywomenwaterspelosiandjackson #KeepItUpDimms2020TrumpLandslide #Trump,Donald Trump,FAVOR
2297,"Another #Hannukah/#Christmas Season, and #Terrorists are AGAIN attacking/killing #Europeans. We must... -Remain Prepared -Remain Vigilant -Be Decisive -Be Assertive -Stand Tough In other words, #GodBlessAmerica #GodBlessisrael #Trump",Donald Trump,FAVOR
2298,No worries. Theres millions of great Trump supporters out there!,Donald Trump,FAVOR
2299,"was your tweet supposed to be negative? YES, TRUMP removed economically crippling regulations, passed tax breaks, killed terror leaders (he didnt bomb Iran- thats a lie, it was in iraq, dumbass), won trade wars, signed USMCA, ended BS Paris agreement!",Donald Trump,FAVOR
2300,"People are always MAD confused when they meet me and we talk politics. I guess I look like your average socialist teenager. Or maybe they just assume I must support democrats because Im a woman, or a minority. Whatever. #Trump",Donald Trump,FAVOR
2301,.@realDonaldTrump response to the CCP Covid19 can be his crowning jewel if he does everything right between now and Nov. or it will be his grave marker. I think he is doing great. He is doing it Trumps way. What can you expect. #4MoreYears,Donald Trump,FAVOR
2302,"""Foreign Policy"" and ""#JimmyCarter"" really shouldn't be used in the same sentence. Just sayin'. #Trump",Donald Trump,FAVOR
2303,"One of my favorite bands too. Thank Q Mick, I appreciate the include. #Trump #KAG MAGA",Donald Trump,FAVOR
2304,"Dirty dems libs an fake news. Money an power an illegals, thats what they love. TRUMP:AMERICANS 1ST",Donald Trump,FAVOR
2305,Theres a NEW PARTY - the American Party - POWER returned to the hands of WE THE PEOPLE ! #Trump,Donald Trump,FAVOR
2306,"I am hearing FREE this, FREE that, FREE FREE FREE. Try adulting for a change, and being responsible for, yourself. The Dems want you to be, helpless, hopeless, homeless! If anything is FREE, FREE your mind, of BS! #DemsAreDestroyingAmerica #DemDebate #Trump",Donald Trump,FAVOR
2307,"The Stock Market is an indicator as to how the US feel about @POTUS Consumer confidence is flying high. #AdoptThatDawgKonan ... in the meantime - please enjoy the next 1,881 Days of #PresidentialBliss - that includes 2 leap year days #Winning #GodBlessTheUS #Trump",Donald Trump,FAVOR
2308,Yep. President Trump is definitely a 10 #Texas: Over 3.5 times as many people turned out for President Trump than Obama. So much for all the talk about Texas turning blue.,Donald Trump,FAVOR
2309,Report: Soros group spent nearly $50 million lobbying for progressives in 2019 #soroslies #WeThePeople #TrumpRallyWildwood #TrumpRally #TrendingNow #Trump,Donald Trump,FAVOR
2310,Go to a Trump Rally @CNNPolitics. You all are spreading lies to cheat and say you won. #WeSeeYou,Donald Trump,FAVOR
2311,Here's what WTP want: Illegals Out Corrupt Politicians In Jail The Friggin' Wall Built Trump: Backed Up.,Donald Trump,FAVOR
2312,I wouldn't give to you for any reason. You're an anti-American traitor just like the President you served with. Go climb back under the rock you crawled from. Americans need someone who puts our people first.#MAGA #Trump,Donald Trump,FAVOR
2313,He also made a statement a while back about how dangerous white men are and his boyfriend is a white man. The moron is strong with him! #Trump,Donald Trump,FAVOR
2314,"She's not a conservative, what do you consider filth? This is America, people are free to do as they please And if you had half a brain you would know that! #Liberals, real ones are more for free speech and Liberty than #conservatives, fact! now back to supporting #Trump",Donald Trump,FAVOR
2315,".@realDonaldTrump U see this #Dems #Libs ????? This is with no Rallies!!!! WE WILL STAND WITH THIS MAN, REGARDLESS!!!! #YellowDogRepublican #WeKnow #Pray4DJT",Donald Trump,FAVOR
2316,America really needs to clean up and take out the garbage! #PaintOurCountryRed #Trump,Donald Trump,FAVOR
2317,"Lawlessness has abounded in plenty. God help us!! Pray, pray,pray!! #Trump",Donald Trump,FAVOR
2318,COUNT ILLEGAL ALIENS IN THE CENSUS AND CUT ILLEGAL ALIEN VOTER REGISTRATION LOOPHOLE!! THIS IS THE ONLY WAY DEMS WILL BE VOTED IN AND IS THEIR ULTIMATE GOAL!! TAKE CARE OF THIS NOW OR IT WILL CERTAINLY BITE IN THE ASS!! @JudgeJeanine @realDonaldTrump,Donald Trump,FAVOR
2319,"You would be more effective if you avoided ad hominem. I actually agree with you on this one, so speak to your @DNC and @GOP. @realDonaldTrump @POTUS should not listen to #ChristianRight or #Democrat war mongers.",Donald Trump,FAVOR
2320,It beats the hell out of 3rd grade Spanish by Francis and Spartacus #Trump,Donald Trump,FAVOR
2321,"Keeping it simple! Under President Trump, the USA is open for business. @MAGA",Donald Trump,FAVOR
2322,"In Blatant Election Tampering, Twitter To Censor @POTUS Trump Tweets Ahead Of #KAG 2020 Election | Zero Hedge",Donald Trump,FAVOR
2323,Good Night Patriots Sweet Dreams GodBlessOurPresident GodBlessUSA GodBlessPOTUS GodBlessOurMilitary GodBlessOurVeterans GodBlessMenInBlue TheGreatestNation WalkAwayDemocrats Trump2020LandslideVictory #KAG @KMGGaryde,Donald Trump,FAVOR
2324,"Trumps KO of #BetoORourke was the #BestOf2019, can't wait for the Main card fight in 2020.",Donald Trump,FAVOR
2325,I look at the accounts of those whom hate our #President @realDonaldTrump and their accounts prove were on the right path they post some of the most Godless immoral Un-American content Ive ever seen Keep up the good work Sir We will win again most of all #GodWins,Donald Trump,FAVOR
2326,Thank you Mr President for everyone you've done to keep Americans safe and healthy! #Trump,Donald Trump,FAVOR
2327,"Time and time again, the Democrats have questioned the winning strategy and instincts of President Trump... again they were proven wrong. Lets Keep America Great!",Donald Trump,FAVOR
2328,"Im glad Trump didnt tell, the Dems would have leaked it and lives of our brave soldiers would have been lost. Trump is smart. #DemocratsHateAmerica",Donald Trump,FAVOR
2329,QAnon: Sunday Funday via @YouTube A fun one from the People Cleaner! #QAnons #GreatAwakeningWorldwide #DarkToLight #GodWins #Trump,Donald Trump,FAVOR
2330,Thank you @realDonaldTrump for #KAG around the globe. They finally have a leader that they respect.,Donald Trump,FAVOR
2331,"@SenSchumer-#STHU-#Whitaker will NOT recuse himself-too bad UR so fearful of the truth-it's about time @realDonaldTrump let's the world know the truth&amp; horrific crimes by Obama administration W/complicit #Dems #RINOS,#DeepState&amp; #MSM 2 invalidate #WeThePeople's vote-WEW will",Donald Trump,FAVOR
2332,Bawaaaah yeah sure. Take ur fuked up skewed polls and give em' to @donlemon so @CNN ratings tank even more #FakeNews is more sick than #coronavirus. #WeThePeople see right through ur and will decide the next President. #Trump4eva #Trump,Donald Trump,FAVOR
2333,We need to rally and do our part! Because believe me @TheDemocrats are working tirelessly behind the scenes #Gerrymandering #stealingvotes and getting people elected under the radar! Dont be complacent! #KAG #RegisterToVote @GOP #VoterID #Trump,Donald Trump,FAVOR
2334,"@KamalaHarris ZERO Chance of being President! She &amp; others like her a nothing more than Trojan Horse for islam/sharia &amp; Want To See Our Country Fail So they can Turn America into Islamerica They Are, #TheEnemyWithin #VoteOutEnemyWithin #SaveOurRepublic #KAG Vote TRUMP 2020",Donald Trump,FAVOR
2335,"#Trump #NRA #ArnoldPalmer #Golf was the exact image on the wall of the whole, and of many of its #conservative",Donald Trump,FAVOR
2336,"Well...since Hillary was planning on continuing his agenda, Trump kinda was. But the real reason @realDonaldTrump picks on Obama is because he has to cater to his white supremacist fans. So actually, youre the uneducated one",Donald Trump,AGAINST
2337,"I'm not sure, but... I'm near certain more than one Latino uttered Pinche Pendejo! while watching last night's blatant pandering! #DIRTYDEMS #Trump",Donald Trump,FAVOR
2338,SMDH. Anyone else wonder why these coward yuppie terrorists are allowed free reign to terrorize your cities?? #AntifaAreTerrorists #DemocratsAreCorrupt #RedNationRising #Trump,Donald Trump,FAVOR
2339,"The states cannot circumvent federal law, especially when it comes to fed areas like immigration, treaties, and other such stuff. #census2020 #Trump",Donald Trump,FAVOR
2340,.@JohnJamesMI Congrats on the @realDonaldTrump endorsement! I'm sure you will Help to Make America Great AGAIN! #MAGA! #KAG Let's get this train going folks! Let's WIN! You will never get tired of winning!,Donald Trump,FAVOR
2341,"This is a historical day and means so much to all Veterans, their families, and all PATRIOTS. #Veterans #GodBlessOurVeterans #NorthKorea #Trump",Donald Trump,FAVOR
2342,Ignore the ignorance sister Candace. Crazy people don't know they're crazy. #Trump,Donald Trump,FAVOR
2343,Don't EVER let those #DemonRats #EVER Get to you Mr. @POTUS @realDonaldTrump . They are just #LostRats Running around Grabbing at whatever they possibly can to try &amp; hold onto some kind of reality to make Sense of their #OutOfControl Lives. #LostTheirMinds #PatriotsUnited,Donald Trump,FAVOR
2344,"She's so amazing! I'd vote for her if she ran for POTUS in 2024. Most new presidents don't keep to what they ran on, Trump has, she's so passionate and way more believable than Barry Soetoro ever was. She's going to do great things for African-Americans. #Owens2024 #WalkAway",Donald Trump,FAVOR
2345,God Bless all the real Americans that keep this Country moving! #Trump,Donald Trump,FAVOR
2346,"Great sense of humour under an enormous amount of pressure, Best President Ever #MAGA#Trump2020 #Trump",Donald Trump,FAVOR
2347,"Thanks for the follow, @graciesdadrules ! Love the #JekyllIsland photos! Following back...but fair warning...I'm very blunt about my conservative politics. #VoteTrumpPence2020 #Trump",Donald Trump,FAVOR
2348,"Thank you for this teachable tweet. The (D)socialist 3rd world dumbsh*t party the do as I say, not as I do party COMMIES R US dnc think they know everything. POTUS Trump is our way of giving anti-america our middle finger E V E R Y D A Y! #howdoyoulikeusnow",Donald Trump,FAVOR
2349,@POTUS restores morality and trust for our Troops: Trump Bans Transgenders Troops From Service Except In Limited Circumstances #KeepOurMilitaryGreat,Donald Trump,FAVOR
2350,"Yeah, Im good, let the Senate vote. Heres your participation , though! Next time, do the work! #Trump",Donald Trump,FAVOR
2351,"@billmaher : I'm Hoping For A Crashing Economy So We Can Get Rid Of Trump, Bring On The Recession How does he LIVE with himself? ##BillMaher #coronapocalypse #KAG2020 #KAG @realDonaldTrump",Donald Trump,FAVOR
2352,"President Trump States the Obvious: ""The Anger We See Today in Our Society is Caused by the Purposely False and Inaccurate Reporting of the Mainstream Media"" #MSM",Donald Trump,FAVOR
2353,I admire and respect President Trump. You CAN'T convince me otherwise. Get out of here with your treasonous bullsh*t. #TrumpHaters #TrumpSupporters #Trump2020KAG #America #Repost #Republican,Donald Trump,FAVOR
2354,They've stolen about 4000 from me. Would love a ride. #Trump,Donald Trump,FAVOR
2355,True leadership. Any democrat would have been horrible and borders would still be open. #Trump #coronavirus #WuhanCoronavirus,Donald Trump,FAVOR
2356,We the Republican people the ones that voted for Trump we know the True Trump we know he has a good heart It just doesn't fit the narrative that the left wants you to believe I've never seen a party so afraid of a president like the Dems are with the president,Donald Trump,FAVOR
2357,"Haha, BS.....bank of america is used by DoD ....let's see if they follow thru #Trump",Donald Trump,FAVOR
2358,Truly inspiring and energizing to hear @POTUS @realDonaldTrump tell the U.N they can shove it.,Donald Trump,FAVOR
2359,He's the Greatest President ever and president Trump will win in November and we the people will,Donald Trump,FAVOR
2360,Show some respect troll or get off his THE PRESIDENT'S FEED!! #Trump,Donald Trump,FAVOR
2361,@WajahatAli Americans across the country tweeted you making an A** of yourself - Is there anything that happens in your life not blamed on @realDonaldTrump,Donald Trump,FAVOR
2362,"God bless President Trump for standing with all AMERICAN'S. Your PATRIOTISM @POTUS, has PROVEN YOUR RESOLVE AGAINST THOSE that FALSELY ACCUSED YOU of RUSSIAN INVOLVEMENT &amp; THEN PROCEEDED to have a FALSE IMPEACHMENT of you. We know you LOVE AMERICA &amp; our CITIZENS.",Donald Trump,FAVOR
2363,"Dear Andy, I see that you have T.D.S. -level six! I feel sorry for you!! Maybe you should work a little harder and try and fix that! Maybe, get a dose of reality! #Drain The SWAMP! #KAG ! #TRUMP 2020 &amp; Beyond ! !!!!",Donald Trump,FAVOR
2364,"Once a liar, always a liar. You misrepresented yourself as a Vietnam Vet dishonoring those who are. #ConfirmKavanaugh #QAnon #KAG #WWG1WGA @realDonaldTrump",Donald Trump,FAVOR
2365,D'Souza gotchya @HillaryClinton And the American People will neva let you live it down. Trump is YOUR President!,Donald Trump,FAVOR
2366,"Remember, Our tough and transparent @POTUS @realDonaldTrump takes tough questions from reporters head on EVERY DAY! These wannabe Presidents running for 2020 can't even take questions from reporters about the #JussieSmollettHoax!",Donald Trump,FAVOR
2367,All the Dems are lying just to get votes! They have nothing to run on but the dumbest ideas to keep taxing us making us poorer! For what? people who got into this country illegally! #AmericansFirst #1862FreedomForever #Dummycrats #Trump,Donald Trump,FAVOR
2368,The Trump administration has been focused on trying to end illegal human smuggling by ending illegal border crossings and people bringing children that aren't theirs. Who the hell is against this???,Donald Trump,FAVOR
2369,"God Be with the American Truckers! America has many heroes, many who operate in the shadows of recognition and gratitude! #coronavirus @oann @WhiteHouse @realDonaldTrump @FoxNews",Donald Trump,FAVOR
2370,"Thank you Troll. I know haters will hate, Have a #KAG #Trump kind of day",Donald Trump,FAVOR
2371,God bless President Trump for mobilizing the government & the private sector day 1. Closing the borders and more to contain the #WuhanVirus &amp; protect Americans. America First.,Donald Trump,FAVOR
2372,"PATRIOT ALERT THIS RISING STAR PATRIOT IS WORKING HARD TO SUPPORT @realDonaldTrump &amp; THE #KAG AGENDA PLEASE FOLLOW @1CoolPatriot &amp; RETWEET THIS.. LETS GET HER TO 10,000 FOLLOWERS #TWGRP #WWG1GWA",Donald Trump,FAVOR
2373,"His public persona may offend some, but he is an effective leader. This is one reason Dems hate him a lot more than they love this country. I only hope that one day defunding PP is on this list. #gettingthejobdone #Trump",Donald Trump,FAVOR
2374,Amen Bill Keeping my faith in @realDonaldTrump who has done more &amp; suffered more for fighting for us American Patriots than any @POTUS They threaten his life &amp; his families lives daily &amp; smear him &amp; his family with horrible evil lies! God bless him &amp; his family,Donald Trump,FAVOR
2375,"I call BS. WHY I SUPPORT TRUMP: hes defending sovereignty, freedom of speech, right to bear arms, merit-based systems (equality). Dems want porous borders, censorship, gun confiscation, socialism (equity). Once you give up individual rights, you never get them back.",Donald Trump,FAVOR
2376,"The #Dems are in it! It's a disgrace-#WalkAwayFromDemocrats #VoteRed #KAG with @POTUS @realDonaldTrump agenda America is booming for all Americans &amp; we are respected! No bowing, no apologies Exceptional America is back!",Donald Trump,FAVOR
2377,"Well, at the very least, my news feed is no longer boring... #KAG #Qanon @realDonaldTrump",Donald Trump,FAVOR
2378,"#Trump #KAG Thanks, Mr President for all of your incredible talent &amp; hard work you deliver for all of us American citizens. We are immensely grateful that you constantly protect us from the insanity from the #DemocratsAreDangerous policies. We LOVE YOU!",Donald Trump,FAVOR
2379,"Dems seem to have a misfit cast of characters running for Potus. Looks like the bar scene from Star Wars. The topper would be to roll out a mixed race, gay, transgender, dwarf who identifies as a Straight White Male. #LiberalismIsAMentalDisease #Trump",Donald Trump,FAVOR
2380,@realDonaldTrump I am having trouble getting your tweets. That makes me really upset. Youre the only one that tells the truth. Twitter is playing games now. Probably Deep State involved. Please,Donald Trump,FAVOR
2381,Good Morning Terry and all MAGA Patriots! Have a Wonderful weekend and keep up the fight for our Beautiful Country and our Great President! #Trump,Donald Trump,FAVOR
2382,Did you hear the great news? President @realDonaldTrump is returning to Minnesota for a rally on Oct. 10th. Join me in showing him that we have his back as the radical Democrats in Congress push for baseless impeachment. #MN07 #KAG #Trump To RSVP:,Donald Trump,FAVOR
2383,"What should the repercussions be if it's found this Prof. Ford is lying about Kavanaugh, and just a set-up by Feinstein? I should add please retweet! @realDonaldTrump @RepMattGaetz",Donald Trump,FAVOR
2384,"Cant imagine a better @realDonaldTrump Campaign Commercial than this type of Vid! A Picture (or in this case, a Video), is worth a thousand #KAG words! Truth/Facts all Voters can see with their Eyes! Best @WhiteHouse Reality TV for upcoming Nov 2018 &amp; Nov 2020 Elections!",Donald Trump,FAVOR
2385,#TuesdayThoughts HISTORY LESSON: Did you know ISIS Leader Abu Bakr al-Baghdadi Was Held at a U.S. Prison ( Camp Becca) in 2009 Until the Obama White House Agreed to Let Him Go? Hmmm? #Patriots #tuesdayvibes #WWG1GWA #Trump,Donald Trump,FAVOR
2386,"Everybody's talking about essentially nothing while millions of kids abused/killed by elites which y'all gleefully watch on TV/movies/MSM & PAY them+VOTE 4 DC fuckos while they do evil: You claim to be awake? Wake up MORE tweet ""warriors"" #Trump",Donald Trump,FAVOR
2387,Apparently the #queen officially Quit her job.. Because that will keep her safe from the inevitable... You know something is up when an immortal steps down! #BOOM #DRAINTHESWAMP #Q #Trump #NothingCanStopWhatsComing #NoCoincidences,Donald Trump,FAVOR
2388,Reeeeeeeeee!!!!! Dozens Of young men getting ready to Out Shepard Smith &amp; Anderson Cooper for sexual harassment! #GreatAwakening #TrumpEffect #PatriotsUnited #GITMO #WhereWeGoOneWeGoAll #DrainTheDeepStateSwamp #Trump,Donald Trump,FAVOR
2389,#KAG #Trump ol chuckle we have no confidence in you and your friends who have set on there bu++s and done nothing for years for Americans but take our money and get richer each day!,Donald Trump,FAVOR
2390,Where getting the WALL people and a whole lot more. Just read between the lines! Thanks for sharing Mr President and Bill your awesome! Now let's get out and VOTE for Pro Trump backers #WeThePeople #DrainTheSwamp #Veto #SpendingBill #OmnibusBill #Trump #VetoTheBill,Donald Trump,FAVOR
2391,This is why the federal reserve needs to be audited and shut down. They manipulate the markets to control the government and line their greedy pockets. #BuildThatWall #DrainTheDeepState #Trump,Donald Trump,FAVOR
2392,That's the Democrat 2020 election slogan. Democrats: Entirely Divorced from the Facts. #Trump,Donald Trump,FAVOR
2393,"If Beto doesn't know what Trump actually said, he's incompetent; if he does know, he's corrupt. #Trump to",Donald Trump,FAVOR
2394,"Anyone else wish @realDonaldTrump was having a New Years countdown #KAG rally? With special guests like @DonaldJTrumpJr, @DevinNunes &amp; @Jim_Jordan. That would be epic.",Donald Trump,FAVOR
2395,"#MuellerReport Yawn. 400 pages of warm bull shit....as #Trump predicted 2 years ago. Go ahead..Impeach him...it will ""Make His Day"" and guarantee his re-election with a #GOP majority in both houses of Congress. #KAG mf",Donald Trump,FAVOR
2396,"Thanks for all The Trump Train rides & the Soul Train posts. Been here a short period active the past few months.12K. Trump Train meets Soul Train. #2020 #KAG Lets Recruit more Dems, Indies etc. with our accomplishments. Repub. Committeewoman, Miami",Donald Trump,FAVOR
2397,Jon Passantino you are so right !! Our great President Trump IS the greatest thing that ever happened to America. I wish more journalists supported the President as much as you do. MAGA-nificent !! Merry Christmas America. And Merry Christmas to you and President Trump.,Donald Trump,FAVOR
2398,You are part of the problem. POTUS & his administration are part of the solution. How sad that you would rather push your political agenda and refuse to work for the good of all Americans ! #DemocratsAreDangerous #VoteRedToSaveAmerica2020 #Trump,Donald Trump,FAVOR
2399,"The irony is that the viewers they would /and do attract are probably really offended.. . Being white, and from a fly over state, this is just another day. #WalkAway #BackTheBlue #BuildTheWall #AllLivesMatter #StopvoterFraud #Trump",Donald Trump,FAVOR
2400,Spoken like someone who is JEALOUS of Trump and his success. Why is the Left always hating? Thought you guys were supposed to be the party of acceptance and tolerance? I guess only when it fits your agenda.,Donald Trump,FAVOR
2401,"That's like Mueller declaring war on humanity Veteran Republican operative Roger Stone predicts special counsel Robert Mueller will soon indict Donald Trump Jr. on a process crime. HOW MANY MORE LIVES IS HE GOING TO DESTROY, before our RINO's in Congress act",Donald Trump,FAVOR
2402,Keep smoking that pipe son. It will help ease the emotions when Trump gets re-elected in 2020.,Donald Trump,FAVOR
2403,President Trump will be known as the greatest President in USA history and the President that saved America. #ThankGodForTrump #AmericansStandWithTrump,Donald Trump,FAVOR
2404,President @realDonaldTrump said interest payments will be waived on the governments share of the near $1.6 trillion pile of student debt!! Yessss! Four more years of Trump,Donald Trump,FAVOR
2405,This is more true today. Retweet the heck out of this. God bless Trump. We need to,Donald Trump,FAVOR
2406,"@SpeakerPelosi you truly are a despicable person, and I hope you get everything that is coming to you! #QAnon2020 #KAG #Trump PRAISE THE LORD! His day of reckoning is upon us!",Donald Trump,FAVOR
2407,Whoa!!Whoa whoa!! There's no such thing as a hate-crime. They're getting ya with their social engineering BS. # #DrainTheSwamp #ProGun #ProLife #MetalHead #ArrestPelosi #DrainTheSwamp #Trump,Donald Trump,FAVOR
2408,"Its either Trump and American sovereignty or Soros and UN globalism. Be happy that you have a patriotic president, you wont like the alternative. P.S. Canadians wish Trump was our leader. #SocialismKills #SocialismIsSlavery",Donald Trump,FAVOR
2409,"Straight to the point and spot on. Even friends @seanhannity and rest of @foxnewspolitics need to dial it down. Vast majority of public not racist in the least and tired of this baloney; no solutions, only rhetoric. #KAG @realDonaldTrump",Donald Trump,FAVOR
2410,Ive worked hard for what Ive got. I appreciate the ride Ragnar I follow back all Trump supporting patriots,Donald Trump,FAVOR
2411,Enough of @TheDemocrats destroying America because they have no other way to beat @realDonaldTrump besides rigging election. #DemocratsTheEnemyWithin #DemExit #KAG2020TRUMPVICTORY,Donald Trump,FAVOR
2412,"Sorry, but there's no such thing as a transgender child. They're too young to understand what gender means. They just want 2 play and what they play with does not define gender. Why do liberals constantly insist on taking away the innocence of children? #Trump",Donald Trump,FAVOR
2413,How will the U.S. mainstream media blame @realDonaldTrump for this? #CoronaVirus |,Donald Trump,FAVOR
2414,You either fight for your country or you lose it but I will be damned if I just sit back and let you give it away. #KAG #QAnon #WeAreTheStorm @realDonaldTrump,Donald Trump,FAVOR
2415,#TriggeredAndy you're waiting for the President to tweet so you can whine whine whine! #MakeSnowflakesCryAgain #Trump,Donald Trump,FAVOR
2416,@realDonaldTrump Walter Cronkite exposed for the globalist he always was (about the 34:00 mark.) #KAG #GlobalismIsSlavery #AmericaFirst Leading the world.,Donald Trump,AGAINST
2417,Liberals say...Trump supporters are a cult! Ok....I'm proud to be a member!,Donald Trump,FAVOR
2418,"America already has a great President in @POTUS,why would we want a Socialist,climate change idiot? #2020Trump #2020Pence #Trump",Donald Trump,FAVOR
2419,Like when you worked for @BarackObama &amp; George Soros! Just like #AdamSchiff &amp; @SpeakerPelosi you're making up lies about #Trump ! America will re-elect to,Donald Trump,FAVOR
2420,This is why blocking the left is a better option than trying to reason with them. They are soooo far behind they will never understand and they will never catch up. #Trump,Donald Trump,FAVOR
2421,"@NewsHour and @CBSNews looked like fools- when you look at haters, it's in their faces, hair, skin. It's a dark gross vibe- it's pathetic. It's like a large spider in a room. #KAG @realDonaldTrump",Donald Trump,FAVOR
2422,"@Comey @SpeakerPelosi @SenSchumer @RepAdamSchiff @RepJerryNadler #KAG @realDonaldTrump DEMOCRATS: Yes, Democrat Party, please lecture us on what is ""beneath"" a political office. You have so much experience in that area. True History of the Democrat Party:",Donald Trump,FAVOR
2423,#Trump #KAG The Coronavirus Task Force is focused on implementing the President's public and private partnership on testingensuring that state and local authorities have the guidance and support to ensure mitigationand addressing capacity issues.,Donald Trump,FAVOR
2424,"I want to go to my American family side. This is my Top priority. Our life time is limited. America should welcome me asap. I love . I love @DonaldJTrumpJr , @realDonaldTrump . My matter is America's matter. I need American help.",Donald Trump,FAVOR
2425,"""Trump killing of ISIS founder Baghdadi vindicates Syria pullout says White House source"" #tcot",Donald Trump,FAVOR
2426,#bbcqt @realDonaldTrump is the best president America has had in the past 50 years - said an audience member Met with some applause too Since when did they let trump supporters in,Donald Trump,FAVOR
2427,"Comeback from what? -The Trump pandemic death toll of 219,000? -The highest unemployment numbers since the 1930s? -The disastrous trade wars with China? (Where Trump begged Xi like a dog to buy our soybeans) Are we great yet? Is this how you want to keep America great?",Donald Trump,AGAINST
2428,#Socialism Killed 100 million last century what could possibly go wrong? Socialism literally invented the #coronavirus #CoronavirusOutbreak #ChineseVirus #CoronaVirusChallenge #CoronavirusUSA #COVID19 #WalkAway #KAGA2020 #Trump #SOCIALISMKILLS #DemocraticDebate,Donald Trump,FAVOR
2429,I might be a Deplorable BUUUUT you are going to be ... wait for it ... DEPORTABLE!! #Justice4Trump #Trump,Donald Trump,FAVOR
2430,"There is no greater time for Patriots to remain united & never falter in our support of our great President. The left-wing are taking every opportunity to use the Chinese virus to further defame him. No matter what happens, I will be voting for @realDonaldTrump #VoteRed2020",Donald Trump,FAVOR
2431,"What he did to Kayla he kidnapped her, her father Carl Mueller, his voice choking...She was held in many prisons...She was held in solitary confinement. She was tortured. She was intimidated. She was ultimately raped by al-#Baghdadi himself."" #Winning #USA #Trump",Donald Trump,FAVOR
2432,"I don't know about you guys, but I thank @realDonaldTrump for having the fortitude to STAND against this corrupt and evil cabal! #KAG #Trump #WWG1WGAWORLDWIDE BEST @POTUS EVER!",Donald Trump,FAVOR
2433,A wow piece by Sky News Australia on the Impeachment Inquiry. Watch to the end. You get a decent feel for how the World is viewing this charade & Adam Shakespeare Schiff. #Trump #American,Donald Trump,FAVOR
2434,Thank you @POTUS you held to every promise that you've made #kag #presidenttrump2020. You've got my vote sir,Donald Trump,FAVOR
2435,I am so thankful that President Trump is our President!... Are you? @realDonaldTrump,Donald Trump,AGAINST
2436,You couldn't even win a rigged election Hahaha!!! You're the most disgusting person on Earth. Thank God for Donald J Trump!,Donald Trump,FAVOR
2437,"Yes damn him, (Trump) is making them pay a 1.3Billion yes Billion dollar fine, they're going to have to purchase parts for their electronics from America, oh geeez he really sucks. Perhaps do some research before spouting such trash.",Donald Trump,FAVOR
2438,Nice try! #Spygate was a failed attempt at uprooting the @realDonaldTrump presidency before he was even elected. Now comes the pain! #FISAgate,Donald Trump,FAVOR
2439,KEEP GOING @realDonaldTrump AMERICANS PATRIOTS believe in you and GOD above placed you. Stay Strong .,Donald Trump,FAVOR
2440,"How to block that negative, angry, cursing bimbo! Ever notice how The angry #Liberals can never have an intelligent conversation and come out of the gate with anger, cursewords and just lashing out on everybody?! Pretty sad! #Trump",Donald Trump,FAVOR
2441,Actually... Myself and every deplorable Trump cult member disagree with you. #trumpcult2020,Donald Trump,FAVOR
2442,Just enforcing existing laws. What a concept. I love our @POTUS @realDonaldTrump!,Donald Trump,FAVOR
2443,President Trump works 24/7 for us! We must do our part to help him all we can! Vote for all of his endorsements! #VoteRepublican #DemocratsAreDangerous #DemocratsAreDangerous #VoteRedOrAmericaIsDead #MobRuleDemocrats,Donald Trump,FAVOR
